time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20150501 sp258 using calib ID 16,17 (quadratic fits) with AD corr added, file x001-x011"																						
5-1-2015 02:39:30	2.16748	0.0109297	2.16748	0.00970936	2.16748	0.0109547																							
5-1-2015 02:40:30	1.66667	0.00456089	1.66667	0.00456089	1.5	0.00456228																							
5-1-2015 02:41:30	1.08324	0.00420315	1.08324	0.00420315	1.08324	0.00421482																							
5-1-2015 02:42:30	1.33316	0.0054898	1.33316	0.00544759	1.16652	0.00541606																							
5-1-2015 02:43:30	1.41723	0.0033461	1.41723	0.0033461	1.41723	0.00345955																							
5-1-2015 02:44:30	1.91516	0.00857641	1.91516	0.00824796	1.66536	0.00849797																							
5-1-2015 02:45:30	1.33185	0.0134266	1.33185	0.0063082	1.08213	0.0133664																							
5-1-2015 02:46:30	1.16788	0.00243805	1.16788	0.00243805	1.00104	0.00246099																							
5-1-2015 02:47:30	0.916993	0.00301878	0.916993	0.00301878	0.916993	0.00305668																							
5-1-2015 02:48:30	1.33223	0.00364598	1.33223	0.00364598	1.1657	0.00359613																							
5-1-2015 02:49:30	1.16727	0.00672728	1.16727	0.00586286	1.16727	0.00667077																							
5-1-2015 02:50:30	1.50081	0.00653175	1.50081	0.00536185	1.41743	0.00666956																							
5-1-2015 02:51:30	1.58274	0.00559876	1.58274	0.00559876	1.41613	0.00551109																							
5-1-2015 02:52:30	1.4163	0.0100925	1.4163	0.00619251	1.24968	0.00996919																							
5-1-2015 02:53:30	1.08377	0.0036852	1.08377	0.00356774	0.91704	0.00370246																							
5-1-2015 02:54:30	1.75034	0.00648164	1.75034	0.00547049	1.33359	0.00633681																							
5-1-2015 02:55:30	2.0824	0.00962893	2.0824	0.00634239	1.83251	0.00963298																							
5-1-2015 02:56:30	1.49658	0.00355086	1.49658	0.00355086	1.16401	0.00353944																							
5-1-2015 02:57:30	1.00236	0.00126913	1.00236	0.00126913	0.835297	0.00138791																							
5-1-2015 02:58:30	1.66633	0.030463	1.66633	0.0077427	1.58302	0.0303659																							
5-1-2015 02:59:30	1.33311	0.00772034	1.33311	0.00640241	1.16647	0.00761477																							
5-1-2015 03:00:30	1.16666	0.00175183	1.16666	0.00175183	1.08333	0.00192453																							
5-1-2015 03:01:30	0.749963	0.00687696	0.749963	0.0026235	0.583304	0.0068798																							
5-1-2015 03:02:30	1.2497	0.00362628	1.2497	0.00362628	1.16639	0.00361295																							
