time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		
6/15/2010 14:34:24				
6/15/2010 14:35:24				
6/15/2010 14:36:24				
6/15/2010 14:37:24				
6/15/2010 14:38:24				
6/15/2010 14:39:24	7.54217	0.0117022		
6/15/2010 14:40:24	0.498813	0.000853535		
6/15/2010 14:41:24				
6/15/2010 14:42:24				
6/15/2010 14:43:24				
6/15/2010 14:44:24				
6/15/2010 14:45:24				
6/15/2010 14:46:24				
6/15/2010 14:47:24				
6/15/2010 14:48:24				
6/15/2010 14:49:24	5.92771	0.0117979		
6/15/2010 14:50:24	0.449598	0.000634676		
6/15/2010 14:51:24				
6/15/2010 14:52:24				
6/15/2010 14:53:24				
6/15/2010 14:54:24				
6/15/2010 14:55:24				
6/15/2010 14:56:24				
6/15/2010 14:57:24				
6/15/2010 14:58:24				
6/15/2010 14:59:24	7.3921	0.0166542		
6/15/2010 15:00:24	0.67472	0.00127965		
6/15/2010 15:01:24				
6/15/2010 15:02:24				
6/15/2010 15:03:24				
6/15/2010 15:04:24				
6/15/2010 15:05:24				
6/15/2010 15:06:24				
6/15/2010 15:07:24				
6/15/2010 15:08:24				
6/15/2010 15:09:24	59.2638	0.0484679		
6/15/2010 15:10:24	3.66079	0.00262454		
6/15/2010 15:11:24				
6/15/2010 15:12:24				
6/15/2010 15:13:24				
6/15/2010 15:14:24				
6/15/2010 15:15:24				
6/15/2010 15:16:24				
6/15/2010 15:17:24				
6/15/2010 15:18:24				
6/15/2010 15:19:24	10.8403	0.0119903		
6/15/2010 15:20:24	0.740837	0.000895187		
6/15/2010 15:21:24				
6/15/2010 15:22:24				
6/15/2010 15:23:24				
6/15/2010 15:24:24				
6/15/2010 15:25:24				
6/15/2010 15:26:24				
6/15/2010 15:27:24				
6/15/2010 15:28:24				
6/15/2010 15:29:24	6.74847	0.00847893		
6/15/2010 15:30:24	0.518271	0.000891811		
6/15/2010 15:31:24				
6/15/2010 15:32:24				
6/15/2010 15:33:24				
6/15/2010 15:34:24				
6/15/2010 15:35:24				
6/15/2010 15:36:24				
6/15/2010 15:37:24				
6/15/2010 15:38:24				
6/15/2010 15:39:24	6.30078	0.0166601		
6/15/2010 15:40:24	0.450862	0.00123128		
6/15/2010 15:41:24				
6/15/2010 15:42:24				
6/15/2010 15:43:24				
6/15/2010 15:44:24				
6/15/2010 15:45:24				
6/15/2010 15:46:24				
6/15/2010 15:47:24				
6/15/2010 15:48:24				
6/15/2010 15:49:24				
6/15/2010 15:50:24	0.509346	0.000900822		
6/15/2010 15:51:24				
6/15/2010 15:52:24				
6/15/2010 15:53:24				
6/15/2010 15:54:24				
6/15/2010 15:55:24				
6/15/2010 15:56:24				
6/15/2010 15:57:24				
6/15/2010 15:58:24				
6/15/2010 15:59:24				
6/15/2010 16:00:24	0.478268	0.000952816		
6/15/2010 16:01:24				
6/15/2010 16:02:24				
6/15/2010 16:03:24				
6/15/2010 16:04:24				
6/15/2010 16:05:24				
6/15/2010 16:06:24				
6/15/2010 16:07:24				
6/15/2010 16:08:24				
6/15/2010 16:09:24				
6/15/2010 16:10:24	0.401421	0.000879978		
6/15/2010 16:11:24				
6/15/2010 16:12:24				
