time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20120601 sp244 using calib ID 8,9 (linear fits) with AD corr added, file x001-x013"																						
6-1-2012 02:56:30	1.33302	0.00230756	1.33302	0.00230756	1.26637	0.00229819																							
6-1-2012 02:57:30	0.800193	0.00104739	0.800193	0.00104739	0.800193	0.00107201																							
6-1-2012 02:58:30	0.799912	0.00138999	0.799912	0.00138999	0.799912	0.00139982																							
6-1-2012 02:59:30	0.800066	0.0010039	0.800066	0.0010039	0.800066	0.00102191																							
6-1-2012 03:00:30	0.866851	0.0014496	0.866851	0.0014496	0.866851	0.00148502																							
6-1-2012 03:01:30	0.866788	0.00235807	0.866788	0.00229901	0.866788	0.00238089																							
6-1-2012 03:02:30	1.33291	0.00229351	1.33291	0.00229351	1.33291	0.00231669																							
6-1-2012 03:03:30	1.39961	0.00429678	1.39961	0.00362783	1.39961	0.00432561																							
6-1-2012 03:04:30	0.866637	0.00188499	0.866637	0.00188499	0.799973	0.0018904																							
6-1-2012 03:05:30	0.999989	0.00147008	0.999989	0.00147008	0.999989	0.00148846																							
6-1-2012 03:06:30	0.800149	0.00151962	0.800149	0.00151962	0.800149	0.00154964																							
6-1-2012 03:07:30	1.00019	0.00182708	1.00019	0.00182708	1.00019	0.00184521																							
6-1-2012 03:08:30	0.600136	0.00112928	0.600136	0.00112928	0.600136	0.00114941																							
6-1-2012 03:09:30	0.866083	0.00222669	0.866083	0.00222669	0.866083	0.00222863																							
6-1-2012 03:10:30	1.53381	0.00394828	1.53381	0.00369879	1.46712	0.0039871																							
6-1-2012 03:11:30	0.733469	0.00109206	0.733469	0.00109206	0.733469	0.00111653																							
6-1-2012 03:12:30	0.599957	0.000610876	0.599957	0.000610876	0.599957	0.00063009																							
6-1-2012 03:13:30	1.13318	0.00117834	1.13318	0.00117834	1.13318	0.00120664																							
6-1-2012 03:14:30	1.06644	0.000961447	1.06644	0.000961447	1.06644	0.00097604																							
6-1-2012 03:15:30	0.800136	0.00108839	0.800136	0.00108839	0.800136	0.00111354																							
6-1-2012 03:16:30	1.06685	0.00123276	1.06685	0.00123276	1.06685	0.00126623																							
6-1-2012 03:17:30	0.800223	0.0011944	0.800223	0.0011944	0.800223	0.00122363																							
6-1-2012 03:18:30	1.07023	0.00385013	1.07023	0.002197	0.802675	0.00385638																							
6-1-2012 03:19:30	1.06313	0.000876451	1.06313	0.000876451	1.06313	0.000901603																							
6-1-2012 03:20:30	0.869199	0.00104393	0.869199	0.00104393	0.869199	0.00106395																							
6-1-2012 03:21:30	1.20448	0.00106497	1.20448	0.00106497	1.00373	0.00108269																							
6-1-2012 03:22:30	0.933351	0.00227045	0.933351	0.00215372	0.933351	0.00227884																							
6-1-2012 03:23:30	0.733089	0.000553168	0.733089	0.000553168	0.733089	0.000581947																							
6-1-2012 03:24:30	0.933625	0.000869465	0.933625	0.000869465	0.933625	0.000919013																							
