time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 00:49:55	4.99777		
6-1-2013 00:50:05	6.50197		
6-1-2013 00:50:15	5.99713		
6-1-2013 00:50:25	6.56233		
6-1-2013 00:50:35	4.9578		
6-1-2013 00:50:45	4.49652		
6-1-2013 00:50:55	4.00318		
6-1-2013 00:51:05	5.49848		
6-1-2013 00:51:15	3.99853		
6-1-2013 00:51:25	4.50039		
6-1-2013 00:51:35	2.00065		
6-1-2013 00:51:45	5.49602		
6-1-2013 00:51:55	4.99861		
6-1-2013 00:52:05	4.00061		
6-1-2013 00:52:15	5.04974		
6-1-2013 00:52:25	6.44497		
6-1-2013 00:52:35	7.4884		
6-1-2013 00:52:45	3.50453		
6-1-2013 00:52:55	5.49138		
6-1-2013 00:53:05	4.99799		
6-1-2013 00:53:15	7.5045		
6-1-2013 00:53:25	4.50299		
6-1-2013 00:53:35	8.99767		
6-1-2013 00:53:45	4.00185		
6-1-2013 00:53:55	6.00689		
6-1-2013 00:54:05	4.98807		
6-1-2013 00:54:15	4.00444		
6-1-2013 00:54:25	4.49812		
6-1-2013 00:54:35	3.99795		
6-1-2013 00:54:45	7.00138		
6-1-2013 00:54:55	6.00327		
6-1-2013 00:55:05	7.99352		
6-1-2013 00:55:15	4.50557		
6-1-2013 00:55:25	7.49399		
6-1-2013 00:55:35	6.99823		
6-1-2013 00:55:45	8.50158		
6-1-2013 00:55:55	4.0373		
6-1-2013 00:56:05	9.99375		
6-1-2013 00:56:15	3.50337		
6-1-2013 00:56:25	4.50211		
6-1-2013 00:56:35	8.49334		
6-1-2013 00:56:45	4.99645		
6-1-2013 00:56:55	6.01094		
6-1-2013 00:57:05	6.00007		
6-1-2013 00:57:15	10.4921		
6-1-2013 00:57:25	4.99434		
6-1-2013 00:57:35	13.4996		
6-1-2013 00:57:45	18.0069		
6-1-2013 00:57:55	18.0166		
6-1-2013 00:58:05	19.5017		
6-1-2013 00:58:15	21.5369		
6-1-2013 00:58:25	13.4681		
6-1-2013 00:58:35	21.5324		
6-1-2013 00:58:45	15.9927		
6-1-2013 00:58:55	9.99119		
6-1-2013 00:59:05	8.50574		
6-1-2013 00:59:15	8.50459		
6-1-2013 00:59:25	10.9875		
6-1-2013 00:59:35	12.9862		
6-1-2013 00:59:45	10.0139		
6-1-2013 00:59:55	9.50315		
6-1-2013 01:00:05	7.49991		
6-1-2013 01:00:15	5.49302		
6-1-2013 01:00:25	5.49765		
6-1-2013 01:00:35	6.00885		
6-1-2013 01:00:45	9.48761		
6-1-2013 01:00:55	7.52131		
6-1-2013 01:01:05	5.49469		
6-1-2013 01:01:15	5.99118		
6-1-2013 01:01:25	5.01068		
6-1-2013 01:01:35	4.99577		
6-1-2013 01:01:45	9.0007		
6-1-2013 01:01:55	11.9942		
6-1-2013 01:02:05	7.51076		
6-1-2013 01:02:15	14.9479		
6-1-2013 01:02:25	11.5349		
6-1-2013 01:02:35	8.97803		
6-1-2013 01:02:45	5.50811		
6-1-2013 01:02:55	6.50123		
6-1-2013 01:03:05	8.50758		
6-1-2013 01:03:15	7.48772		
6-1-2013 01:03:25	7.50965		
6-1-2013 01:03:35	4.50401		
6-1-2013 01:03:45	3.99059		
6-1-2013 01:03:55	3.50559		
6-1-2013 01:04:05	8.99702		
6-1-2013 01:04:15	13.0033		
6-1-2013 01:04:25	8.99526		
6-1-2013 01:04:35	10.5136		
6-1-2013 01:04:45	10.4972		
6-1-2013 01:04:55	8.48763		
6-1-2013 01:05:05	8.00257		
6-1-2013 01:05:15	10.4855		
6-1-2013 01:05:25	12.0103		
6-1-2013 01:05:35	16.014		
6-1-2013 01:05:45	17.9793		
6-1-2013 01:05:55	9.00877		
6-1-2013 01:06:05	13.5097		
6-1-2013 01:06:15	20.4946		
6-1-2013 01:06:25	19.0041		
6-1-2013 01:06:35	24.0097		
6-1-2013 01:06:45	16.9837		
6-1-2013 01:06:55	22.0087		
6-1-2013 01:07:05	17.4938		
6-1-2013 01:07:15	15.5163		
6-1-2013 01:07:25	16.4888		
6-1-2013 01:07:35	12.5024		
6-1-2013 01:07:45	17.4905		
6-1-2013 01:07:55	19.5073		
6-1-2013 01:08:05	16.998		
6-1-2013 01:08:15	18.5068		
6-1-2013 01:08:25	26.9981		
6-1-2013 01:08:35	26.9832		
6-1-2013 01:08:45	18.5013		
6-1-2013 01:08:55	10.5068		
6-1-2013 01:09:05	12.0045		
6-1-2013 01:09:15	12.4676		
6-1-2013 01:09:25	14.0336		
6-1-2013 01:09:35	15.48		
6-1-2013 01:09:45	22.5087		
6-1-2013 01:09:55	25.0068		
6-1-2013 01:10:05	25.0289		
6-1-2013 01:10:15	32.9274		
6-1-2013 01:10:25	23.54		
6-1-2013 01:10:35	18.988		
6-1-2013 01:10:45	23.007		
6-1-2013 01:10:55	18.5091		
6-1-2013 01:11:05	15.9923		
6-1-2013 01:11:15	21.4866		
6-1-2013 01:11:25	16.0219		
6-1-2013 01:11:35	16.4825		
6-1-2013 01:11:45	17.9874		
6-1-2013 01:11:55	21.0457		
6-1-2013 01:12:05	23.4608		
6-1-2013 01:12:15	19.9815		
6-1-2013 01:12:25	28.0552		
6-1-2013 01:12:35	27.495		
6-1-2013 01:12:45	24.4745		
6-1-2013 01:12:55	24.0072		
6-1-2013 01:13:05	23.4765		
6-1-2013 01:13:15	28.5321		
6-1-2013 01:13:25	30.9831		
6-1-2013 01:13:35	27.0192		
6-1-2013 01:13:45	34.9913		
6-1-2013 01:13:55	27.9968		
