time centers	number conc BBHG	mass conc BBHG	"this is for 20110801 sp217 using calib ID 1 (linear fit) with AD corr added, file x001-x007"	
8-1-2011 04:50:02				
8-1-2011 04:51:02				
8-1-2011 04:52:02				
8-1-2011 04:53:02				
8-1-2011 04:54:02				
8-1-2011 04:55:02				
8-1-2011 04:56:02				
8-1-2011 04:57:02				
8-1-2011 04:58:02	0.0424418	8.87E-05		
8-1-2011 04:59:02				
8-1-2011 05:00:02				
8-1-2011 05:01:02				
8-1-2011 05:02:02				
8-1-2011 05:03:02				
8-1-2011 05:04:02				
8-1-2011 05:05:02				
8-1-2011 05:06:02				
8-1-2011 05:07:02				
8-1-2011 05:08:02	0.283232	0.00102801		
8-1-2011 05:09:02	0	0		
8-1-2011 05:10:02				
8-1-2011 05:11:02				
8-1-2011 05:12:02				
8-1-2011 05:13:02				
8-1-2011 05:14:02				
8-1-2011 05:15:02				
8-1-2011 05:16:02				
8-1-2011 05:17:02				
8-1-2011 05:18:02	0.0251139	6.11E-05		
8-1-2011 05:19:02				
8-1-2011 05:20:02				
8-1-2011 05:21:02				
8-1-2011 05:22:02				
8-1-2011 05:23:02				
8-1-2011 05:24:02				
8-1-2011 05:25:02				
8-1-2011 05:26:02				
8-1-2011 05:27:02				
8-1-2011 05:28:02	0.0349841	5.43E-05		
8-1-2011 05:29:02				
8-1-2011 05:30:02				
8-1-2011 05:31:02				
8-1-2011 05:32:02				
8-1-2011 05:33:02				
8-1-2011 05:34:02				
8-1-2011 05:35:02				
8-1-2011 05:36:02				
8-1-2011 05:37:02				
8-1-2011 05:38:02	0.0358735	7.80E-05		
8-1-2011 05:39:02				
8-1-2011 05:40:02				
8-1-2011 05:41:02				
8-1-2011 05:42:02				
8-1-2011 05:43:02				
8-1-2011 05:44:02				
8-1-2011 05:45:02				
8-1-2011 05:46:02				
8-1-2011 05:47:02				
8-1-2011 05:48:02	0.0384292	9.30E-05		
8-1-2011 05:49:02				
8-1-2011 05:50:02				
8-1-2011 05:51:02				
8-1-2011 05:52:02				
8-1-2011 05:53:02				
8-1-2011 05:54:02				
8-1-2011 05:55:02				
8-1-2011 05:56:02				
8-1-2011 05:57:02				
8-1-2011 05:58:02	0.0381281	6.75E-05		
8-1-2011 05:59:02				
8-1-2011 06:00:02				
8-1-2011 06:01:02				
8-1-2011 06:02:02				
8-1-2011 06:03:02				
8-1-2011 06:04:02				
8-1-2011 06:05:02				
8-1-2011 06:06:02				
8-1-2011 06:07:02				
8-1-2011 06:08:02	0.0373833	9.09E-05		
8-1-2011 06:09:02				
