time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		date: 	20090701
7-1-2009 07:58:42					
7-1-2009 07:59:42					
7-1-2009 08:00:42					
7-1-2009 08:01:42					
7-1-2009 08:02:42					
7-1-2009 08:03:42					
7-1-2009 08:04:42					
7-1-2009 08:05:42					
7-1-2009 08:06:42	0.353977	0.000301576			
7-1-2009 08:07:42					
7-1-2009 08:08:42					
7-1-2009 08:09:42					
7-1-2009 08:10:42					
7-1-2009 08:11:42					
7-1-2009 08:12:42					
7-1-2009 08:13:42					
7-1-2009 08:14:42					
7-1-2009 08:15:42					
7-1-2009 08:16:42					
7-1-2009 08:17:42					
7-1-2009 08:18:42					
7-1-2009 08:19:42					
7-1-2009 08:20:42					
7-1-2009 08:21:42	0.409528	0.000348227			
7-1-2009 08:22:42					
7-1-2009 08:23:42					
7-1-2009 08:24:42					
7-1-2009 08:25:42					
7-1-2009 08:26:42					
7-1-2009 08:27:42					
7-1-2009 08:28:42					
7-1-2009 08:29:42					
7-1-2009 08:30:42					
7-1-2009 08:31:42					
7-1-2009 08:32:42					
7-1-2009 08:33:42					
7-1-2009 08:34:42					
7-1-2009 08:35:42					
7-1-2009 08:36:42	0.372053	0.000326477			
7-1-2009 08:37:42					
7-1-2009 08:38:42					
7-1-2009 08:39:42					
7-1-2009 08:40:42					
7-1-2009 08:41:42					
7-1-2009 08:42:42					
7-1-2009 08:43:42					
7-1-2009 08:44:42					
7-1-2009 08:45:42					
7-1-2009 08:46:42					
7-1-2009 08:47:42					
7-1-2009 08:48:42					
7-1-2009 08:49:42					
7-1-2009 08:50:42					
7-1-2009 08:51:42	0.382819	0.000316103			
7-1-2009 08:52:42					
7-1-2009 08:53:42					
7-1-2009 08:54:42					
7-1-2009 08:55:42					
7-1-2009 08:56:42					
7-1-2009 08:57:42					
7-1-2009 08:58:42					
7-1-2009 08:59:42					
7-1-2009 09:00:42					
7-1-2009 09:01:42					
7-1-2009 09:02:42					
7-1-2009 09:03:42					
7-1-2009 09:04:42					
7-1-2009 09:05:42					
7-1-2009 09:06:42	0.298264	0.000264654			
7-1-2009 09:07:42					
7-1-2009 09:08:42					
7-1-2009 09:09:42					
7-1-2009 09:10:42					
7-1-2009 09:11:42					
7-1-2009 09:12:42					
7-1-2009 09:13:42					
7-1-2009 09:14:42					
7-1-2009 09:15:42					
7-1-2009 09:16:42					
7-1-2009 09:17:42					
7-1-2009 09:18:42					
7-1-2009 09:19:42					
7-1-2009 09:20:42					
7-1-2009 09:21:42	0.345222	0.000238881			
7-1-2009 09:22:42					
7-1-2009 09:23:42					
7-1-2009 09:24:42					
7-1-2009 09:25:42					
