time centers	number conc BBHG	mass conc BBHG	"this is for 20140801 sp217 using calib ID 4 (linear fit) with AD corr added, file x001-x007"			
8-1-2014 13:56:25	0.567373	0.000177254				
8-1-2014 13:56:35	1.87483	0.000986674				
8-1-2014 13:56:45	0.333477	0.000257506				
8-1-2014 13:56:55	0	0				
8-1-2014 13:57:05	1.20416	0.000696526				
8-1-2014 13:57:15	1.19105	0.000364957				
8-1-2014 13:57:25	1.24938	0.000603973				
8-1-2014 13:57:35	0	0				
8-1-2014 13:57:45	0.441837	0.00102672				
8-1-2014 13:57:55	0.676166	0.000168786				
8-1-2014 13:58:05	0.450837	0.000100179				
8-1-2014 13:58:15	0	0				
8-1-2014 13:58:25	0	0				
8-1-2014 13:58:35	0	0				
8-1-2014 13:58:45	0	0				
8-1-2014 13:58:55	0	0				
8-1-2014 13:59:05	0	0				
8-1-2014 13:59:15	0	0				
8-1-2014 13:59:25	0	0				
8-1-2014 13:59:35	0	0				
8-1-2014 13:59:45	0.514519	0.000630086				
8-1-2014 13:59:55	0.46327	0.000150361				
8-1-2014 14:00:05	0	0				
8-1-2014 14:00:15	0	0				
8-1-2014 14:00:25	0	0				
8-1-2014 14:00:35	0	0				
8-1-2014 14:00:45	0	0				
8-1-2014 14:00:55	0	0				
8-1-2014 14:01:05	0	0				
8-1-2014 14:01:15	0	0				
8-1-2014 14:01:25	0	0				
8-1-2014 14:01:35	0	0				
8-1-2014 14:01:45	0	0				
8-1-2014 14:01:55	0	0				
8-1-2014 14:02:05	0	0				
8-1-2014 14:02:15	0	0				
8-1-2014 14:02:25	0	0				
8-1-2014 14:02:35	0	0				
8-1-2014 14:02:45	0	0				
8-1-2014 14:02:55	0	0				
8-1-2014 14:03:05	0	0				
8-1-2014 14:03:15	0	0				
8-1-2014 14:03:25	0	0				
8-1-2014 14:03:35	0	0				
8-1-2014 14:03:45	0	0				
8-1-2014 14:03:55	0	0				
8-1-2014 14:04:05	0	0				
8-1-2014 14:04:15	0	0				
8-1-2014 14:04:25	0	0				
8-1-2014 14:04:35	0	0				
8-1-2014 14:04:45	0	0				
8-1-2014 14:04:55	0	0				
8-1-2014 14:05:05	0.500395	0.000127985				
8-1-2014 14:05:15	0.961417	0.000558686				
8-1-2014 14:05:25	0.561573	0.000243238				
8-1-2014 14:05:35	0	0				
8-1-2014 14:05:45	0	0				
8-1-2014 14:05:55	0	0				
8-1-2014 14:06:05	0	0				
8-1-2014 14:06:15	0	0				
8-1-2014 14:06:25	0	0				
8-1-2014 14:06:35	0	0				
8-1-2014 14:06:45	1.38965	0.000515704				
8-1-2014 14:06:55	2.29618	0.00074172				
8-1-2014 14:07:05	3.95818	0.00140717				
8-1-2014 14:07:15	1.25054	0.000311443				
8-1-2014 14:07:25	1.72619	0.00100141				
8-1-2014 14:07:35	0	0				
8-1-2014 14:07:45	0	0				
8-1-2014 14:07:55	0	0				
8-1-2014 14:08:05	0	0				
8-1-2014 14:08:15	0	0				
8-1-2014 14:08:25	0	0				
8-1-2014 14:08:35	0	0				
8-1-2014 14:08:45	0	0				
8-1-2014 14:08:55	0	0				
8-1-2014 14:09:05	0	0				
8-1-2014 14:09:15	0	0				
8-1-2014 14:09:25	0	0				
8-1-2014 14:09:35	0	0				
8-1-2014 14:09:45	0	0				
8-1-2014 14:09:55	0	0				
8-1-2014 14:10:05	0	0				
8-1-2014 14:10:15	0	0				
8-1-2014 14:10:25	0	0				
8-1-2014 14:10:35	0.467024	0.000143214				
8-1-2014 14:10:45	0.549938	0.000129458				
8-1-2014 14:10:55	0.50928	0.000253547				
8-1-2014 14:11:05	0.427831	9.18E-05				
8-1-2014 14:11:15	0	0				
8-1-2014 14:11:25	1.96048	0.000841677				
8-1-2014 14:11:35	0	0				
8-1-2014 14:11:45	0	0				
8-1-2014 14:11:55	0	0				
8-1-2014 14:12:05	0.446242	0.000265856				
8-1-2014 14:12:15	0	0				
8-1-2014 14:12:25	0	0				
8-1-2014 14:12:35	0	0				
8-1-2014 14:12:45	0	0				
8-1-2014 14:12:55	0.510377	0.000109949				
8-1-2014 14:13:05	0	0				
8-1-2014 14:13:15	0	0				
8-1-2014 14:13:25	0	0				
8-1-2014 14:13:35	0	0				
8-1-2014 14:13:45	0	0				
8-1-2014 14:13:55	0	0				
8-1-2014 14:14:05	0	0				
