time centers	number conc comb	mass conc BBHG	mass conc comb
5-1-2015 06:22:30	1.91799	0.00673268	0.00673076
5-1-2015 06:23:30	1.91771	0.00849271	0.00889217
5-1-2015 06:24:30	1.83053	0.00782633	0.0111104
5-1-2015 06:25:30	2.50138	0.00735001	0.00743064
5-1-2015 06:26:30	1.66627	0.00615949	0.00640861
5-1-2015 06:27:30	1.50013	0.00368577	0.00368577
5-1-2015 06:28:30	1.58379	0.00360397	0.00360397
5-1-2015 06:29:30	1.41642	0.00418065	0.00523628
5-1-2015 06:30:30	1.74876	0.00706813	0.0281887
5-1-2015 06:31:30	1.50023	0.00626875	0.00867367
5-1-2015 06:32:30	2.41783	0.00919596	0.0107999
5-1-2015 06:33:30	1.16655	0.0069002	0.0159613
5-1-2015 06:34:30	1.66565	0.00675448	0.00692558
5-1-2015 06:35:30	1.58415	0.00380792	0.00380792
5-1-2015 06:36:30	1.83371	0.00467533	0.00467533
5-1-2015 06:37:30	1.33181	0.00526071	0.00526071
5-1-2015 06:38:30	1.41891	0.00364608	0.00364608
5-1-2015 06:39:30	1.08226	0.00282672	0.00282672
5-1-2015 06:40:30	1.75048	0.00671119	0.00671119
5-1-2015 06:41:30	1.66727	0.00492626	0.00492626
5-1-2015 06:42:30	1.33216	0.00553677	0.00553677
5-1-2015 06:43:30	1.66629	0.00436414	0.00436414
5-1-2015 06:44:30	1.83371	0.00625377	0.00731383
5-1-2015 06:45:30	1.08384	0.00364361	0.0037504
5-1-2015 06:46:30	2.08327	0.00430705	0.00430705
5-1-2015 06:47:30	1.50569	0.00597297	0.0578164
5-1-2015 06:48:30	2.49779	0.0116516	0.0131313
5-1-2015 06:49:30	1.83423	0.0109986	0.0185946
5-1-2015 06:50:30	1.58347	0.00497496	0.00497496
5-1-2015 06:51:30	1.91637	0.00613086	0.00613086
5-1-2015 06:52:30	1.91619	0.00759342	0.00759342
5-1-2015 06:53:30	1.66735	0.0113778	0.013447
5-1-2015 06:54:30	1.58368	0.00786123	0.00913216
5-1-2015 06:55:30	1.91574	0.00358025	0.00358025
5-1-2015 06:56:30	1.74981	0.00791713	0.0106654
5-1-2015 06:57:30	1.91683	0.00697725	0.0121314
5-1-2015 06:58:30	1.33235	0.00307164	0.00307164
5-1-2015 06:59:30	1.1663	0.00373429	0.00373429
